Close,wma,Profit
27973.25390625,27988.05607638889,0.0
27976.708984375,27985.72673611111,0.0
27958.845703125,27980.12873263889,0.0
27967.01953125,27976.53263888889,0.0
27959.126953125,27971.700737847223,0.0
27964.345703125,27968.84392361111,0.0
27958.169921875,27965.429557291667,0.0
27966.234375,27964.450173611112,0.0
27960.12109375,27962.914453125,-0.22
27959.779296875,27961.896397569446,-0.22
27961.51953125,27961.525824652777,-0.22
27959.88671875,27961.16623263889,-0.22
27963.40234375,27961.486631944445,-0.22
27971.7421875,27963.555381944443,-0.22
27974.388671875,27965.87309027778,-0.22
27965.7578125,27966.241449652778,-0.13
27963.701171875,27966.02986111111,-0.13
27968.98046875,27966.930425347222,-0.13
27977.4296875,27969.323958333334,-0.13
27983.408203125,27972.520963541665,-0.13
28005.0625,27979.562413194446,-0.13
27997.25,27984.037456597223,-0.13
27977.4453125,27983.79939236111,0.17
27959.34375,27979.81427951389,0.17
27956.755859375,27975.64592013889,0.17
27938.021484375,27967.930729166666,0.17
27945.384765625,27962.258854166666,0.17
27942.96875,27956.628125,0.17
27959.103515625,27954.990147569446,0.17
27976.287109375,27957.328993055555,0.17
27993.693359375,27963.788541666665,0.17
28000.68359375,27971.72517361111,0.17
27997.595703125,27978.527821180556,0.17
27990.28515625,27983.018315972222,0.17
27992.98828125,27987.304340277777,0.17
27988.15234375,27989.401692708332,1.21
27982.578125,27989.43381076389,1.21
27973.587890625,27986.78767361111,1.21
27990.013671875,27987.104817708332,1.21
27982.39453125,27985.593098958332,0.94
27993.66015625,27986.585590277777,0.94
27990.404296875,27987.082986111112,0.94
28028.78125,27995.415581597223,0.94
28037.92578125,28004.721614583334,0.94
28028.7265625,28011.189192708334,0.94
28029.748046875,28016.959418402777,0.94
28022.078125,28020.147439236112,0.94
28018.85546875,28021.613368055554,1.84
28018.73828125,28022.414930555555,1.84
28016.966796875,28022.054557291667,1.84
28014.142578125,28020.611414930554,1.84
28011.28515625,28018.069270833334,1.84
28006.123046875,28014.883506944443,1.84
28023.39453125,28015.85876736111,1.84
28025.619140625,28017.397439236112,1.84
28028.146484375,28019.533333333333,1.84
28031.51171875,28022.207421875,1.84
27995.34765625,28017.367447916666,0.83
27971.46875,28008.271484375,0.83
27963.3046875,27998.553776041666,0.83
27949.572265625,27987.21931423611,0.83
27945.36328125,27976.414453125,0.83
27962.2265625,27970.332465277777,0.83
27970.20703125,27967.205859375,0.83
27966.50390625,27964.570008680555,0.83
27971.921875,27964.387586805555,0.83
27937.69921875,27958.684852430557,-0.33
27943.77734375,27955.478819444445,-0.33
27901.9140625,27944.515494791667,-0.33
27873.7734375,27929.28828125,-0.33
27865.4921875,27914.08923611111,-0.33
27874.5625,27902.479166666668,-0.33
27846.71484375,27887.24765625,-0.33
27857.505859375,27876.918619791668,-0.33
27867.65625,27871.04184027778,-0.33
27865.943359375,27867.13949652778,-0.33
27877.5390625,27867.150868055556,-0.33
27866.841796875,27866.49474826389,-0.33
27877.095703125,27868.66879340278,-0.33
27905.0859375,27876.367057291667,-0.33
27881.15234375,27878.398741319445,-0.33
27874.359375,27878.925390625,-0.44
27871.669921875,27878.299826388888,-0.44
27876.427734375,27878.311067708335,-0.44
27866.708984375,27876.18363715278,-0.44
27852.908203125,27871.279036458334,-0.44
27859.794921875,27868.299131944445,-0.44
27867.66015625,27867.04887152778,-0.44
27868.09375,27866.095008680557,-0.44
27855.900390625,27863.524522569445,-0.86
27873.921875,27865.119487847223,-0.86
27890.677734375,27870.07534722222,-0.86
27888.279296875,27874.12912326389,-0.86
27886.650390625,27877.59375,-0.86
27878.791015625,27879.043359375,-0.69
27877.212890625,27879.60217013889,-0.69
27836.091796875,27871.549696180555,-0.69
27841.353515625,27865.251085069445,-0.69
27835.4453125,27858.36506076389,-0.69
27835.5625,27851.95703125,-0.69
27844.076171875,27848.104166666668,-0.69
27862.748046875,27849.02126736111,-0.69
27860.650390625,27850.086197916666,-0.69
27864.046875,27852.408203125,-0.69
27858.875,27854.02348090278,-0.69
27849.74609375,27854.22048611111,-1.16
27840.375,27852.23984375,-1.16
27857.5234375,27853.710633680555,-1.16
27860.337890625,27855.25368923611,-1.16
27853.94921875,27854.968446180555,-1.28
27819.837890625,27847.641536458334,-1.28
27814.419921875,27840.184592013888,-1.28
27831.837890625,27837.238585069445,-1.28
27839.6484375,27836.570442708333,-1.28
27850.52734375,27838.505338541665,-1.28
27846.712890625,27839.65998263889,-1.28
27845.998046875,27840.530815972223,-1.28
27861.240234375,27844.70620659722,-1.28
27860.9453125,27848.80256076389,-1.28
27865.5703125,27853.668446180556,-1.28
27874.048828125,27859.213758680555,-1.28
27864.41015625,27861.50625,-1.28
27868.828125,27863.958506944444,-1.28
27873.8984375,27866.776388888888,-1.28
27873.115234375,27868.918272569445,-1.28
27876.97265625,27871.244921875,-1.28
27875.841796875,27872.65707465278,-1.28
27878.048828125,27874.18615451389,-1.28
27875.759765625,27874.87734375,-1.28
27879.55078125,27876.100303819443,-1.28
27874.91015625,27876.27287326389,-0.02
27870.330078125,27875.29609375,-0.02
27866.22265625,27873.464453125,-0.02
27846.615234375,27867.881901041666,-0.02
27851.154296875,27863.79605034722,-0.02
27853.29296875,27860.711675347222,-0.02
27851.23828125,27857.717447916668,-0.02
27844.080078125,27853.887369791668,-0.02
27827.7421875,27847.493706597223,-0.02
27830.88671875,27842.88025173611,-0.02
27841.17578125,27841.30290798611,-0.02
27838.3984375,27839.81796875,-0.02
27854.2890625,27842.12947048611,-0.02
27862.728515625,27845.958333333332,-0.02
